,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2025_FW1,2025_FW2,2025_FW3,2025_FW4,2025_FW5,2025_FW6,2025_FW7,2025_FW8,2025_FW9,2025_FW10,2025_FW11,2025_FW12,2025_FW13
44,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,4000,5,3,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
45,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,4000,5,3,2.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,7.0,1.0
46,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,6000,6,3,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
47,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,6000,6,3,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
48,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,6000,6,3,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
49,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,6000,6,3,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
50,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,6000,6,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
51,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,6000,6,3,17.424,21.719,12.958,11.018,14.535,11.189,15.89,11.872,9.0929,9.3482,10.733,8.1413,9.8478
52,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,6000,6,3,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
53,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,6000,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
54,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,6000,8,4,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
